common_name,pubchem_id,flavor_profile,detail_url,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,IUPACName
SCHEMBL1161247,66926400,sweet-like,,66926400,C17H31Cl3O13,549.8,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CCl)O)O)CCl)O)O)Cl)O.C([C@H](C([C@H](CO)O)O)O)O,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O.C(C(C(C(CO)O)O)O)O,"(2R,3R,4R,5R,6R)-2-[(2R,3S,4S,5S)-2,5-bis(chloromethyl)-3,4-dihydroxyoxolan-2-yl]oxy-5-chloro-6-(hydroxymethyl)oxane-3,4-diol;(2R,4S)-pentane-1,2,3,4,5-pentol"
AMP dipotassium salt,66927421,sweet-like,,66927421,C10H12K2N5O7P,423.40,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)N.[K+].[K+],C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O)N.[K+].[K+],"dipotassium;[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate"
SCHEMBL1223496,66954081,sweet-like,,66954081,C6H12O4,148.16,C1[C@H](C[C@@H](O[C@@H]1CO)O)O,C1C(CC(OC1CO)O)O,"(2R,4R,6S)-6-(hydroxymethyl)oxane-2,4-diol"
SCHEMBL1235508,66959484,sweet-like,,66959484,C12H22O11,342.30,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OC2[C@@H]([C@H]([C@H](O2)[C@@H](CO)O)O)O)O)O)O)O,C(C1C(C(C(C(O1)OC2C(C(C(O2)C(CO)O)O)O)O)O)O)O,"(3R,4S,5S,6R)-2-[(3R,4R,5R)-5-[(1R)-1,2-dihydroxyethyl]-3,4-dihydroxyoxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
SCHEMBL1247332,66964417,sweet-like,,66964417,C12H24O12,360.31,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O.O,C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O.O,"(2S,3R,4S,5R,6R)-2-[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxymethyl)oxolan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol;hydrate"
SCHEMBL1252100,66966465,sweet-like,,66966465,C22H22O12,478.4,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one"
SCHEMBL1252204,66966530,sweet-like,,66966530,C23H24O12,492.4,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)OC4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)OC)O,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)OC)O,"5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-methoxy-7-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one"
SCHEMBL1252883,66966805,sweet-like,,66966805,C23H24O12,492.4,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)OC,"2-(3,4-dimethoxyphenyl)-5,7-dihydroxy-3-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one"
SCHEMBL1270476,66971997,sweet-like,,66971997,C15H24N5O7P,417.35,CCCCCOP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,CCCCCOP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl pentyl hydrogen phosphate"
SCHEMBL1278337,66974518,sweet-like,,66974518,C12H22NaO11,365.29,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O.[Na],C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O.[Na],
SCHEMBL1299352,66985218,sweet-like,,66985218,C10H16N5O7P,349.24,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O.OP(=O)(O)O,CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.OP(=O)(O)O,"(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-methyloxolane-3,4-diol;phosphoric acid"
SCHEMBL1299359,66985221,sweet-like,,66985221,C10H14N5O6P,331.22,C[C@@H]1C(C([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O,CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O,"[(2R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-2-methyloxolan-3-yl] dihydrogen phosphate"
SCHEMBL1300011,66985403,sweet-like,,66985403,C12H18N5O7P,375.27,CC([C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)OC,CC(C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)OC,"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-2-(1-methoxyethyl)oxolan-3-yl] dihydrogen phosphate"
SCHEMBL1331183,66995404,sweet-like,,66995404,C12H22CaO11,382.37,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O.[Ca],C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O.[Ca],
SCHEMBL1356080,67003435,sweet-like,,67003435,C12H28O13,380.34,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O)O.O.O,C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O.O.O,"(2R,3R,4R,5R)-6-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhexane-1,2,3,4,5-pentol;dihydrate"
SCHEMBL1398883,67018288,sweet-like,,67018288,C12H17N5O6,327.29,C1=NC2=C(N=C(N=C2N1[C@H]3C(C([C@H](O3)CO)O)O)OCCO)N,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)OCCO)N,"(2R,5R)-2-[6-amino-2-(2-hydroxyethoxy)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol"
SCHEMBL1421859,67025747,sweet-like,,67025747,C14H25N6O8P,436.36,CCC(CN)O.C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N,CCC(CN)O.C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,"1-aminobutan-2-ol;[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate"
SCHEMBL1448053,67037433,sweet-like,,67037433,C10H16N5O11PS,445.30,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N.OS(=O)(=O)O,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N.OS(=O)(=O)O,"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;sulfuric acid"
SCHEMBL1463156,67043323,sweet-like,,67043323,C7H4FNO3S,201.18,C1=CC2=C(C(=C1)F)S(=O)(=O)NC2=O,C1=CC2=C(C(=C1)F)S(=O)(=O)NC2=O,"7-fluoro-1,1-dioxo-1,2-benzothiazol-3-one"
SCHEMBL1485826,67050847,sweet-like,,67050847,C18H24N4O7,408.4,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N.C1CNC(=O)C(=O)N1,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N.C1CNC(=O)C(=O)N1,"(3S)-3-amino-4-[[(2S)-1-methoxy-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoic acid;piperazine-2,3-dione"
SCHEMBL1513014,67059733,sweet-like,,67059733,C15H25N6O7P,432.37,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OCCCCCN)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OCCCCCN)O)O)N,"5-aminopentyl [(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate"
SCHEMBL1515548,67060900,sweet-like,,67060900,C12H18N5O7P,375.27,CCO.C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,CCO.C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,"(4aR,6R,7R,7aS)-6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol;ethanol"
SCHEMBL1521395,67062982,sweet-like,,67062982,C14H26O12,386.35,COC[C@@H]1[C@@H]([C@@H]([C@H]([C@@](O1)(OC)O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O,COCC1C(C(C(C(O1)(OC)OC2C(C(C(C(O2)CO)O)O)O)O)O)O,"(2S,3R,4S,5R,6R)-2-methoxy-6-(methoxymethyl)-2-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol"
SCHEMBL1521442,67063005,sweet-like,,67063005,C12H21FO10,344.29,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CF)O)O)O)O)O)O,C(C1C(C(C(C(O1)O)OC2C(C(C(C(O2)CF)O)O)O)O)O)O,"(2S,3R,4S,5S,6R)-3-[(2S,3R,4S,5S,6S)-6-(fluoromethyl)-3,4,5-trihydroxyoxan-2-yl]oxy-6-(hydroxymethyl)oxane-2,4,5-triol"
SCHEMBL1521447,67063007,sweet-like,,67063007,C12H21FO10,344.29,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)F)O)O)O)O)O)O,C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)F)O)O)O)O)O)O,"(2R,3R,4S,5S,6R)-2-[(2S,3R,4R,5R,6R)-5-fluoro-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
SCHEMBL1521448,67063008,sweet-like,,67063008,C12H21FO10,344.29,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CF)O)O)O)O)O)O)O,C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CF)O)O)O)O)O)O)O,"(2R,3R,4S,5S,6R)-2-[(2S,3R,4S,5S,6S)-6-(fluoromethyl)-3,4,5-trihydroxyoxan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
SCHEMBL1521708,67063097,sweet-like,,67063097,C12H21FO10,344.29,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)F)O)O)O)O,C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)F)O)O)O)O,"(2S,3R,4S,5S,6R)-2-[(2R,3S,4S,5S,6R)-3-fluoro-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
SCHEMBL1546379,67071305,sweet-like,,67071305,C21H20O12,464.4,C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC2=CC(=CC(=C2O)O)C3=C(C(=O)C4=C(C=C(C=C4O3)O)O)O)O)O)O,CC1C(C(C(C(O1)OC2=CC(=CC(=C2O)O)C3=C(C(=O)C4=C(C=C(C=C4O3)O)O)O)O)O)O,"2-[3,4-dihydroxy-5-[(3S,4S,5S,6R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyphenyl]-3,5,7-trihydroxychromen-4-one"
SCHEMBL1546517,67071344,sweet-like,,67071344,C21H20O12,464.4,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O,"3,5,7-trihydroxy-2-[3-hydroxy-4-[(3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one"
SCHEMBL1550707,67072633,sweet-like,,67072633,C13H26O12,374.34,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OC[C@H]([C@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O)O)O)O)O)O,C(C1C(C(C(C(O1)OCC(C(C(C(C(CO)O)O)O)O)O)O)O)O)O,"(2R,3S,4R,5R,6R)-7-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyheptane-1,2,3,4,5,6-hexol"
SCHEMBL1550708,67072634,sweet-like,,67072634,C13H26O12,374.34,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OC[C@H]([C@H]([C@@H]([C@H]([C@H](CO)O)O)O)O)O)O)O)O)O,C(C1C(C(C(C(O1)OCC(C(C(C(C(CO)O)O)O)O)O)O)O)O)O,"(2S,3S,4R,5R,6R)-7-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyheptane-1,2,3,4,5,6-hexol"
SCHEMBL1586309,67086676,sweet-like,,67086676,C6H13ClO6,216.62,C(C1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O.Cl,C(C1C(C(C(C(O1)O)O)O)O)O.Cl,"(3S,4S,5S)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol;hydrochloride"
SCHEMBL1643995,67105652,sweet-like,,67105652,C26H30O14,566.5,C[C@H]([C@H]([C@@H]([C@H]([C@@H]1[C@H]([C@@H]([C@H](C(O1)OC2=CC(=C3C(=C2)OC(=CC3=O)C4=CC(=C(C=C4)OC)O)O)O)O)O)O)O)O)O,CC(C(C(C(C1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=CC3=O)C4=CC(=C(C=C4)OC)O)O)O)O)O)O)O)O)O,"5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-[(1R,2S,3R,4R)-1,2,3,4-tetrahydroxypentyl]oxan-2-yl]oxychromen-4-one"
SCHEMBL1653642,67109389,sweet-like,,67109389,C12H22CaO11,382.37,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O.[Ca],C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O.[Ca],
SCHEMBL1660856,67111368,sweet-like,,67111368,C11H22O6,250.29,CCCCCOC1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,CCCCCOC1C(C(C(C(O1)CO)O)O)O,"(2R,3S,4S,5S)-2-(hydroxymethyl)-6-pentoxyoxane-3,4,5-triol"
SCHEMBL1702053,67127145,sweet-like,,67127145,C24H31N3O7,473.5,COC(=O)[C@H](CC1=CC=CC=C1)N.COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,COC(=O)C(CC1=CC=CC=C1)N.COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,3-amino-4-[(1-methoxy-1-oxo-3-phenylpropan-2-yl)amino]-4-oxobutanoic acid;methyl (2S)-2-amino-3-phenylpropanoate
SCHEMBL1706318,67128564,sweet-like,,67128564,C21H20O12,464.4,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,"3,5,7-trihydroxy-2-[4-hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one"
SCHEMBL1706780,67128659,sweet-like,,67128659,C21H20O11,448.4,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)OC4C(C(C(C(O4)CO)O)O)O,"5,7-dihydroxy-2-[3-hydroxy-4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one"
SCHEMBL1706852,67128679,sweet-like,,67128679,C19H20O9,392.4,C1=CC=C(C=C1)C(=O)C2=C(C(=C(C=C2)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C1=CC=C(C=C1)C(=O)C2=C(C(=C(C=C2)O)O)OC3C(C(C(C(O3)CO)O)O)O,"[3,4-dihydroxy-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-phenylmethanone"
SCHEMBL1707233,67128786,sweet-like,,67128786,C21H22O11,450.4,C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2O)O)O)O)OC3C(C(C(C(O3)CO)O)O)O,"3-[3-hydroxy-4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-1-(2,4,6-trihydroxyphenyl)prop-2-en-1-one"
SCHEMBL1707729,67128924,sweet-like,,67128924,C21H20O13,480.4,C1=C(C=C(C(=C1O)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C3=C(C(=O)C4=C(C=C(C=C4O3)O)O)O,C1=C(C=C(C(=C1O)O)OC2C(C(C(C(O2)CO)O)O)O)C3=C(C(=O)C4=C(C=C(C=C4O3)O)O)O,"2-[3,4-dihydroxy-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-3,5,7-trihydroxychromen-4-one"
SCHEMBL1707783,67128951,sweet-like,,67128951,C21H20O13,480.4,C1=C(C=C(C(=C1O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)C3=C(C(=O)C4=C(C=C(C=C4O3)O)O)O,C1=C(C=C(C(=C1O)OC2C(C(C(C(O2)CO)O)O)O)O)C3=C(C(=O)C4=C(C=C(C=C4O3)O)O)O,"2-[3,5-dihydroxy-4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-3,5,7-trihydroxychromen-4-one"
SCHEMBL1713941,67131626,sweet-like,,67131626,C12H22FeO11,398.14,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O.[Fe],C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O.[Fe],"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;iron"
SCHEMBL1715077,67131988,sweet-like,,67131988,C12H22Fe2O11,453.99,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O.[Fe].[Fe],C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O.[Fe].[Fe],"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;iron"
SCHEMBL1764542,67153144,sweet-like,,67153144,C7H14O7,210.18,CO[C@@]1([C@@H]([C@H](OC([C@@H]1O)O)CO)O)O,COC1(C(C(OC(C1O)O)CO)O)O,"(3S,4R,5R,6R)-6-(hydroxymethyl)-4-methoxyoxane-2,3,4,5-tetrol"
SCHEMBL1779606,67158674,sweet-like,,67158674,C7H5NO3SSi,211.27,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Si],C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Si],
SCHEMBL1779607,67158675,sweet-like,,67158675,C7H4NO3SSi,210.26,C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)[Si],C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)[Si],
SCHEMBL1781151,67159212,sweet-like,,67159212,C11H22O10,314.29,C1[C@H]([C@H]([C@@H]([C@@H](O1)OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O,C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O,"(2R,3R,4R,5R)-6-[(2S,3S,4R,5R)-3,4,5-trihydroxyoxan-2-yl]oxyhexane-1,2,3,4,5-pentol"
SCHEMBL1813882,67171460,sweet-like,,67171460,C13H23N6O8P,422.33,CC(CN)O.C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N,CC(CN)O.C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,"1-aminopropan-2-ol;[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate"
SCHEMBL1816454,67172434,sweet-like,,67172434,C13H22O13,386.31,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)OC(=O)O)O)O,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)OC(=O)O)O)O,"[(2R,3R,4S,5R,6R)-3,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-yl] hydrogen carbonate"
SCHEMBL1829884,67176283,sweet-like,,67176283,C10H16N5O11PS,445.30,C1=NC(=C2C(=N1)N(C=N2)[C@H]3C(C([C@H](O3)COP(=O)(O)O)O)O)N.OS(=O)(=O)O,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N.OS(=O)(=O)O,"[(2R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;sulfuric acid"
SCHEMBL1831343,67176901,sweet-like,,67176901,C7H14O6,194.18,C1C(C(OC(C1O)OCO)CO)O,C1C(C(OC(C1O)OCO)CO)O,"2-(hydroxymethoxy)-6-(hydroxymethyl)oxane-3,5-diol"
SCHEMBL1833477,67177807,sweet-like,,67177807,C15H30O14,434.39,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O.C(C(CO)O)O,C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O.C(C(CO)O)O,"(2S,3R,4S,5R,6R)-2-[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxymethyl)oxolan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol;propane-1,2,3-triol"
SCHEMBL1835413,67178722,sweet-like,,67178722,C10H17N6O7P,364.25,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N.NP(=O)(O)O,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N.NP(=O)(O)O,"aminophosphonic acid;(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol"
SCHEMBL1900250,67204834,sweet-like,,67204834,C21H20O12,464.4,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one"
SCHEMBL1923269,67212803,sweet-like,,67212803,C12H23ClO11,378.76,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O.Cl,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O.Cl,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol;hydrochloride"
SCHEMBL1954463,67224923,sweet-like,,67224923,C12H22O11,342.30,C1[C@H]([C@H]([C@@H]([C@](O1)(CO)O[C@@H]2[C@H]([C@@H]([C@H](O[C@@H]2O)CO)O)O)O)O)O,C1C(C(C(C(O1)(CO)OC2C(C(C(OC2O)CO)O)O)O)O)O,"(2S,3S,4R,5R)-2-(hydroxymethyl)-2-[(2S,3R,4S,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol"
