common_name,pubchem_id,flavor_profile,detail_url,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,IUPACName
CID 18218589,18218589,sweet,,18218589,C17H25N3O4,335.4,CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(C)N,CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(C)N,2-[[2-(2-aminopropanoylamino)-3-methylbutanoyl]amino]-3-phenylpropanoic acid
CID 18218664,18218664,sweet,,18218664,C19H28N6O6,436.5,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCCN=C(N)N)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCCN=C(N)N)N,3-[[2-amino-5-(diaminomethylideneamino)pentanoyl]amino]-4-[(1-carboxy-2-phenylethyl)amino]-4-oxobutanoic acid
CID 18219020,18219020,sweet,,18219020,C17H23N5O6,393.4,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CC(=O)N)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CC(=O)N)N,"2-[[4-amino-2-[(2,4-diamino-4-oxobutanoyl)amino]-4-oxobutanoyl]amino]-3-phenylpropanoic acid"
CID 18219039,18219039,sweet,,18219039,C17H22N4O7,394.4,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)N)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)N)N,"4-[(1-carboxy-2-phenylethyl)amino]-3-[(2,4-diamino-4-oxobutanoyl)amino]-4-oxobutanoic acid"
CID 18219099,18219099,sweet,,18219099,C18H25N5O6,407.4,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(CC(=O)N)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(CC(=O)N)N,"2-[[5-amino-2-[(2,4-diamino-4-oxobutanoyl)amino]-5-oxopentanoyl]amino]-3-phenylpropanoic acid"
CID 18219118,18219118,sweet,,18219118,C15H20N4O5,336.34,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)N,"2-[[2-[(2,4-diamino-4-oxobutanoyl)amino]acetyl]amino]-3-phenylpropanoic acid"
CID 18219158,18219158,sweet,,18219158,C19H28N4O5,392.4,CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)N)N,CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)N)N,"2-[[2-[(2,4-diamino-4-oxobutanoyl)amino]-3-methylpentanoyl]amino]-3-phenylpropanoic acid"
CID 18219178,18219178,sweet,,18219178,C19H28N4O5,392.4,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)N)N,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)N)N,"2-[[2-[(2,4-diamino-4-oxobutanoyl)amino]-4-methylpentanoyl]amino]-3-phenylpropanoic acid"
CID 18219198,18219198,sweet,,18219198,C19H29N5O5,407.5,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCCCN)NC(=O)C(CC(=O)N)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCCCN)NC(=O)C(CC(=O)N)N,"2-[[6-amino-2-[(2,4-diamino-4-oxobutanoyl)amino]hexanoyl]amino]-3-phenylpropanoic acid"
CID 18219227,18219227,sweet,,18219227,C17H23N5O6,393.4,C1=CC=C(C=C1)CC(C(=O)NC(CC(=O)N)C(=O)O)NC(=O)C(CC(=O)N)N,C1=CC=C(C=C1)CC(C(=O)NC(CC(=O)N)C(=O)O)NC(=O)C(CC(=O)N)N,"4-amino-2-[[2-[(2,4-diamino-4-oxobutanoyl)amino]-3-phenylpropanoyl]amino]-4-oxobutanoic acid"
